target,groupID
3,2933
1,1114
4,5486
3,3233
3,3298
3,817
2,683
4,724
2,4747
5,711
2,3233
2,3753
3,4818
2,1012
3,4013
5,1299
4,2015
5,1768
3,3233
5,4036
3,3548
5,5483
5,3356
5,3769
2,4062
3,6
2,619
3,1091
4,4477
3,2989
4,3769
2,1387
5,766
4,2758
5,2462
2,2641
5,3191
2,3891
2,1140
4,2319
4,1228
3,4829
2,2859
4,5205
5,2192
5,1980
4,4534
5,4435
4,5486
3,4741
4,3082
5,3181
4,3082
5,4812
4,1158
3,4497
5,1750
3,3590
2,1003
5,1967
2,3145
5,4501
5,512
3,4108
4,5044
2,1356
5,4990
3,1018
3,4967
5,4873
5,766
4,3997
2,4618
5,309
3,2851
1,1140
5,2158
4,4122
2,3997
4,3050
5,1144
2,4565
3,2059
4,5486
4,2593
3,5486
5,960
3,2094
4,5294
4,4920
4,5294
5,2208
5,2200
4,5068
5,4349
4,100
2,426
4,4229
4,1898
2,4306
3,4117
3,429
5,5387
4,3997
2,2040
3,358
1,3439
4,4041
2,3805
5,1326
4,2517
5,176
3,445
5,1873
5,5219
5,383
2,152
5,4629
5,128
2,511
2,1699
3,1218
3,4995
4,4790
2,3267
3,2294
4,4229
4,3941
2,3298
5,1566
5,2937
2,2565
3,4352
3,837
5,3450
5,1049
3,3183
4,5188
4,5486
3,4624
3,5281
4,1077
3,5195
4,1511
3,5463
2,1124
3,2335
4,879
3,1752
3,3046
4,3570
4,4221
2,4448
3,3841
5,385
4,4580
5,451
5,2820
3,4682
3,445
2,5253
2,4012
2,2
4,2466
5,2180
5,3688
5,4501
4,5486
3,5545
3,1100
1,771
3,1239
5,2695
5,3649
4,4229
3,4277
3,356
3,4368
3,3769
5,1919
4,5486
5,4343
5,937
5,1779
5,5258
4,3513
5,2401
4,5486
5,2284
3,2138
5,2233
2,3091
5,1590
5,3082
2,3298
3,464
3,3401
5,2541
2,3956
3,5044
5,1925
2,308
5,2249
4,926
5,1400
3,4181
5,861
4,3252
2,2645
4,4942
2,2067
4,1318
5,459
5,1213
2,4055
2,1216
4,1348
5,2727
3,5486
2,3413
2,3698
2,3317
5,4627
5,745
5,4627
3,2773
2,4229
4,3082
3,1381
5,5580
4,1980
3,3851
5,4934
5,2562
4,1506
2,508
2,3843
2,4229
2,254
2,3997
2,829
3,5486
3,4274
3,3725
2,602
4,1104
2,1180
4,1772
2,354
3,3861
4,2582
5,1772
3,3997
2,4587
3,4747
4,2727
3,93
3,2911
3,2925
1,4229
1,3762
4,4612
2,3805
5,5448
5,5501
5,2966
2,1085
5,29
4,5407
3,683
2,2248
2,2997
2,1144
5,4715
3,4041
3,135
3,4743
5,2481
2,241
4,1302
3,3298
4,3252
2,4895
4,5294
3,5486
3,3423
3,4652
4,3128
4,3769
3,5044
5,5555
2,3817
2,2402
2,5486
3,4229
2,4346
4,3233
2,1637
2,5044
5,86
4,3524
3,4532
5,3548
3,5549
5,4558
5,3525
3,3298
2,4350
2,4093
5,2809
2,4661
5,3944
5,312
3,4712
5,2137
5,1001
5,3011
5,2788
5,5143
4,1144
5,305
4,3912
3,4229
5,5091
2,2776
4,3997
3,3313
2,3389
4,3915
5,3806
5,1747
5,2681
4,3769
5,2382
5,1799
4,3050
3,2413
3,1225
4,3298
4,3997
4,1063
4,3298
2,4214
4,4229
4,3082
3,3769
3,5346
2,2759
2,3747
4,662
3,4167
3,3298
5,3769
4,3313
2,4041
5,5549
3,1691
2,23
5,441
5,3631
3,3692
3,79
3,1093
3,1980
4,1140
5,3067
3,3997
2,995
2,1719
3,294
2,4932
5,4338
5,5163
5,993
3,2030
3,3997
3,4377
3,3514
5,3655
5,4501
2,2030
3,5486
3,2299
3,721
5,6
2,3997
5,5341
3,5486
4,344
3,5306
5,1314
4,588
3,4874
5,1548
2,1953
2,4840
3,4460
4,3997
5,3730
2,3351
5,112
5,1712
2,4877
2,6
5,1500
2,680
5,5341
5,2370
3,2681
4,1886
1,4594
1,567
5,2011
5,3414
4,5486
5,1339
4,4846
2,92
5,3268
3,3339
5,393
3,5294
4,4229
4,3997
4,4108
4,4920
3,2161
5,4690
5,1209
2,3496
3,5042
4,1419
3,3145
2,4347
2,1095
2,3905
2,5224
5,5278
5,541
4,3298
2,5486
5,1609
2,906
2,4041
5,908
4,4782
3,4247
2,2055
2,1549
2,2710
2,3997
4,2283
2,2997
2,282
5,2622
5,3997
4,996
5,5488
3,4229
2,4512
5,3676
3,4539
2,2997
3,2791
3,40
3,504
4,3678
5,3769
3,2901
3,1229
5,3266
5,1856
4,5486
5,4711
2,598
3,3183
5,61
1,2923
2,5248
5,725
4,5549
5,4339
4,4078
3,4715
2,2823
5,237
5,2029
2,3997
2,3017
5,1524
5,1077
5,4317
5,3233
4,4335
3,3082
2,1195
3,1908
2,5492
3,2071
4,1922
2,4269
3,2444
4,4108
3,5486
3,471
5,2803
5,3295
2,2941
5,718
